,model,price,Combustible,Cilindrada,Potencia,Torque,Alimentación,Cilindros,Válvulas,Sistema start/stop,Aceleración (0-100 km/h),Consumo en ciudad,Consumo en ruta,Consumo mixto,Velocidad máxima,Motor-tracción,Transmisión,Neumáticos,Frenos,Suspensión delantera,Suspensión trasera,Largo,Ancho sin espejos,Ancho con espejos,Alto,Distancia entre ejes,Baúl,Tanque de combustible,Peso,Capacidad de carga,Altura de piso,Remolque con frenos,Remolque sin frenos,Aire acondicionado,Alarma de luces encendidas,Asientos delanteros,Asientos traseros,Tapizados,Cierre de puertas,Vidrios,Espejos exteriores,Espejo interior,Faros delanteros,Faros antiniebla,Computadora de a bordo,Dirección asistida,Llantas,Techo solar,Volante,Sensores de estacionamiento,Cámara de visión,ABS,Distribución electrónica de frenado,Airbag,Alarma e inmovilizador de motor,Anclaje para asientos infantiles,Cinturones de seguridad,Otros,Tercera luz de stop,Autobloqueo de puertas con velocidad,Control de estabilidad,Control de tracción,Equipo de música,Parlantes,Conexión auxiliar (iPod y Mp3),Conexión USB,Interfaz bluetooth,Sistema de control por voz para dispositivos,Pantalla,MirrorLink,Limitador de velocidad,Palanca de cambios,Apertura de baúl y tapa de combustible,Sistema de navegación,Limpialuneta,Capacidad de vadeo,Ángulo de ataque,Ángulo de partida,Ángulo ventral,Capacidad de pendiente,Escalonamiento vertical,Inclinación lateral,Control de velocidad crucero,Encendido del motor,Sistema de estacionamiento asistido,Asistencia en frenada de emergencia,Sensor de lluvia,Recarga inalámbrica del celular,Apple Carplay / Android Auto,Reproducción de audio vía bluetooth,Puertas,Wi-Fi
20,FIAT Pulse 1.3 Drive,300000.0,nafta,1332,99/6000 cv/rpm,127/4000 N·m/rpm,inyección electrónica multipunto,4,8,no,,N/D,N/D,N/D,173.0,delantero - delantera,manual 5 velocidades,195/60/R16,discos ventilados - tambor,"independiente McPherson con brazos oscilantes transversales, resortes y barra estabilizadora",barra de torsión y barra estabilizadora,4099,1774.0,1989.0,1547.0,2532,370.0,47,1140.0,400.0,190.0,N/D,400.0,climatizador,sí,con ajuste en altura,abatibles 60/40,tela,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,con luces led,N/D,sí,eléctrica progresiva,aleación,no tiene,multifunción,delanteros y traseros,trasera,sí,sí,"conductor y acompañante, laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales","asistente para arranque en pendientes, indicador de presión de neumáticos",sí,sí,sí,sí,"AM - FM, con lector de Mp3, con comandos de audio al volante",N/D,sí,sí,sí,,"táctil de 10""",sí,,,,satelital (GPS),sí,N/D,"20,5°","31,4°",N/D,"21,3°",N/D,N/D,sí,,,,,sí,,,,
21,FIAT Pulse Abarth 1.3L Turbo,25941000.0,nafta,1332,175/5750 cv/rpm,270/1850 N·m/rpm,inyección directa turbo,4,16,no,8.0,N/D,N/D,N/D,210.0,delantero - delantera,automática secuencial 6 velocidades,205/50/R17,discos ventilados - tambor,"independiente McPherson con brazos oscilantes transversales, resortes y barra estabilizadora",barra de torsión y barra estabilizadora,4099,1774.0,1989.0,1547.0,2532,370.0,47,1280.0,400.0,190.0,N/D,400.0,climatizador,sí,con ajuste en altura,abatibles 60/40,cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado automático, con luz de giro incorporadas, eléctricos",antideslumbrante automático,"con encendido y apagado automático, con luces led",delanteros,sí,eléctrica progresiva,aleación,no tiene,"con ajuste en altura y profundidad, multifunción revestido en cuero",traseros,trasera,sí,sí,"conductor y acompañante, laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales","asistente para arranque en pendientes, indicador de presión de neumáticos",sí,sí,sí,sí,"AM - FM, con lector de Mp3, con comandos de audio al volante",N/D,sí,sí,sí,,"táctil de 10""",,,levas de cambios al volante - Paddle Shifters,,satelital (GPS),sí,N/D,"20,5°","31,4°",N/D,"21,3°",N/D,N/D,sí,con sistema remoto,sí,sí,sí,sí,sí,,,
22,Peugeot 208 Feline 1.6,4500000.0,nafta,1587,115/5800 cv/rpm,152/4000 N·m/rpm,inyección electrónica multipunto,4,16,no,11.0,N/D,N/D,N/D,195.0,delantero - delantera,manual 5 velocidades,195/60/R15,discos ventilados - tambor,independiente tipo McPherson,"traversa deformable, resortes helicoidales, amortiguadores hidraulicos y telescópicos, y barra estabilizadora",3975,1740.0,2000.0,1470.0,2540,318.0,55,,,,,,climatizador bizona,sí,"con ajuste en altura solo conductor, con ajuste manual",abatibles 60/40,tela y cuero,centralizado con comando a distancia,eléctricos - eléctricos,eléctricos,antideslumbrante manual,"con encendido automático, con luces led, fijos",delanteros y traseros,sí,eléctrica progresiva,aleación,panorámico fijo,"con ajuste en altura y profundidad, multifunción",delanteros y traseros,trasera,sí,sí,"conductor y acompañante, de cabeza delanteros y traseros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales pirotécnicos, traseros inerciales",,sí,sí,,,"AM - FM, con lector de Mp3, con comandos de audio al volante, sistema de sonido Arkamys®",6,sí,sí,sí,,táctil de 7'',sí,sí,,interna y a distancia solo baúl,satelital (GPS),sí,,,,,,,,,,,,,,,,,
23,Peugeot 208 Feline 1.6 Tiptronic,230000.0,nafta,1587,115/6000 cv/rpm,150/4000 N·m/rpm,inyección electrónica multipunto,3,12,sí,,N/D,N/D,N/D,190.0,delantero - delantera,automática 6 velocidades,195/55/R16,discos ventilados - tambor,"independiente tipo McPherson, con resortes helicoidales, amortiguadores hidráulicos telescópicos y barra estabilizadora","traversa deformable, resortes helicoidales, amortiguadores hidraulicos y telescópicos, y barra estabilizadora",4055,1738.0,1960.0,1453.0,2538,311.0,47,1111.0,,,,,climatizador,sí,"con ajuste en altura solo conductor, con ajuste manual",abatibles completos,cuero,centralizado con comando a distancia,eléctricos - eléctricos,eléctricos,antideslumbrante manual,"con luces led, fijos",traseros,sí,eléctrica progresiva,aleación,eléctrico panorámico,"con ajuste en altura y profundidad, multifunción",traseros,trasera,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales pirotécnicos, traseros inerciales","advertencia de colisión con autofrenado , asistente para arranque en pendientes, sistema de advertencia de salida de carril, sistema de alerta por cansancio",sí,sí,sí,sí,"AM - FM, con lector de Mp3, con comandos de audio al volante",6,sí,,sí,,"táctil de 10""",sí,sí,,interna y a distancia solo baúl,,sí,,,,,,,,,,,sí,,sí,,sí,,
24,Peugeot Partner Furgón Confort 1.6,193800.0,nafta,1587,115/5800 cv/rpm,150/4000 N·m/rpm,inyección electrónica multipunto,4,8,no,,N/D,N/D,N/D,164.0,delantero - delantera,manual 5 velocidades,175/65/R14,discos ventilados - tambor,independiente tipo McPherson,independiente de brazos arrastrados,4137,1724.0,1960.0,1804.0,2693,3000.0,55,1224.0,800.0,,900 kg,,manual,sí,con ajuste manual,no tiene,tela,centralizado con comando a distancia,manuales - fijos,manuales,antideslumbrante manual,"con apagado automático, con regulación interna",traseros,sí,hidráulica progresiva,acero,no tiene,con ajuste en altura,,,sí,sí,conductor y acompañante,inmovilizador de motor,,delanteros inerciales,,sí,sí,sí,,"AM - FM y CD con lector de Mp3, WMA y tarjetas SD, con comandos de audio al volante",2,sí,sí,sí,,,,,revestida en cuero,,,,,,,,,,,,,,sí,,,,sí,"trasera derecha corrediza, traseras doble, batientes y vidriadas",
25,FIAT Cronos 1.8L Precision,270000.0,nafta,1747,130/5250 cv/rpm,182/3750 N·m/rpm,inyección electrónica multipunto,4,16,no,9.9,N/D,N/D,N/D,192.0,delantero - delantera,manual 5 velocidades,195/55/R16,discos sólidos - tambor,"independiente McPherson con brazos oscilantes transversales, resortes y barra estabilizadora",semi-independiente tipo viga de torsión con resortes helicoidales y barra estabilizadora,4364,1724.0,,1516.0,2521,525.0,48,1225.0,,,,,climatizador,sí,con ajuste manual,abatibles completos,tela,centralizado con comando a distancia,eléctricos - eléctricos,eléctricos,antideslumbrante manual,"con apagado automático, fijos",delanteros,sí,eléctrica progresiva,aleación,no tiene,"con ajuste en altura y profundidad, multifunción",traseros,trasera,sí,sí,conductor y acompañante,alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales","asistente para arranque en pendientes, indicador de presión de neumáticos",sí,sí,sí,sí,"AM - FM y CD con lector de Mp3, con comandos de audio al volante",N/D,sí,sí,sí,sí,"color de 3,5"", táctil de 7''",sí,,,,,,,,,,,,,,,,,,,,,,
26,Peugeot 208 Style 1.6,6800000.0,nafta,1587,115/6000 cv/rpm,150/4000 N·m/rpm,inyección electrónica multipunto,4,16,sí,11.0,N/D,N/D,N/D,190.0,delantero - delantera,manual 5 velocidades,195/55/R16,discos ventilados - tambor,"independiente tipo McPherson, con resortes helicoidales, amortiguadores hidráulicos telescópicos y barra estabilizadora","traversa deformable, resortes helicoidales, amortiguadores hidraulicos y telescópicos, y barra estabilizadora",4055,1738.0,1960.0,1453.0,2538,311.0,47,1210.0,,,,,climatizador,sí,"con ajuste en altura solo conductor, con ajuste manual",abatibles completos,alcántara,centralizado con comando a distancia,eléctricos - eléctricos,eléctricos,antideslumbrante manual,"con luces led, fijos",traseros,sí,eléctrica progresiva,aleación,panorámico fijo,"con ajuste en altura y profundidad, multifunción",,trasera,sí,sí,"conductor y acompañante, de cabeza delanteros y traseros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales pirotécnicos, traseros inerciales",asistente para arranque en pendientes,sí,sí,sí,,"AM - FM, con lector de Mp3, con comandos de audio al volante",6,sí,sí,sí,,,sí,sí,,interna y a distancia solo baúl,,sí,,,,,,,,,con sistema remoto,,sí,,sí,,sí,,
27,FIAT Cronos 1.3L Drive Pack Plus,189000.0,nafta,1332,99/6000 cv/rpm,127/4000 N·m/rpm,inyección electrónica multipunto,4,8,no,11.5,N/D,N/D,N/D,174.0,delantero - delantera,manual 5 velocidades,185/60/R15,discos sólidos - tambor,"independiente McPherson con brazos oscilantes transversales, resortes y barra estabilizadora",semi-independiente con eje torsional con amortiguadores y resortes helicoidales,4364,1724.0,1962.0,1508.0,2521,525.0,48,1155.0,,160.0,N/D,400.0,climatizador,sí,con ajuste manual,abatibles completos,tela,centralizado con comando a distancia,eléctricos - eléctricos,eléctricos,antideslumbrante manual,"con apagado automático, fijos",delanteros,sí,eléctrica progresiva,aleación,no tiene,con ajuste en altura,traseros,trasera,sí,sí,conductor y acompañante,alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales","asistente para arranque en pendientes, indicador de presión de neumáticos",sí,sí,sí,sí,AM - FM y CD con lector de Mp3,N/D,sí,sí,sí,sí,táctil de 7'',sí,,,,,,,,,,,,,,,,,,,,,,
28,Toyota Corolla 2.0 XL-I CVT,330000.0,nafta,1987,170/6600 cv/rpm,200/4400-4800 N·m/rpm,inyección directa e indirecta,4,16,sí,,N/D,N/D,N/D,,delantero - delantera,automática CVT,205/55/R16,discos ventilados - discos sólidos,"independiente tipo McPherson, con resortes helicoidales, amortiguadores hidráulicos telescópicos y barra estabilizadora",independiente de doble horquilla con resortes helicoidales y barra estabilizadora,4630,1780.0,,1435.0,2700,470.0,50,1375.0,,,,,manual,sí,con ajuste en altura solo conductor,abatibles 60/40,tela,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con encendido automático, con luces led, con regulación interna",traseros,sí,eléctrica progresiva,acero con taza,no tiene,"con ajuste en altura y profundidad, multifunción",delanteros y traseros,trasera,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales","advertencia de colisión con autofrenado , asistente para arranque en pendientes, control de frenado en curva, sistema de advertencia de salida de carril",sí,sí,sí,sí,"AM - FM y CD con lector de Mp3, con comandos de audio al volante",6,sí,sí,sí,,táctil de 8'',,,,interna y a distancia solo baúl,,,,,,,,,,adaptativa,,,sí,,,sí,,,
29,FIAT Cronos 1.3L Like,15000000.0,nafta,1332,99/6000 cv/rpm,127/4000 N·m/rpm,inyección electrónica multipunto,4,8,no,11.5,N/D,N/D,N/D,174.0,delantero - delantera,manual 5 velocidades,185/60/R15,discos sólidos - tambor,"independiente McPherson con brazos oscilantes transversales, resortes y barra estabilizadora",semi-independiente con eje torsional con amortiguadores y resortes helicoidales,4364,1724.0,1962.0,1508.0,2521,525.0,48,1121.0,,160.0,N/D,400.0,manual,sí,con ajuste manual,abatibles completos,tela,centralizado con comando a distancia,eléctricos - eléctricos,eléctricos,antideslumbrante manual,"con apagado automático, fijos",no tiene,sí,eléctrica progresiva,acero,no tiene,con ajuste en altura,traseros,,sí,sí,conductor y acompañante,alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales","asistente para arranque en pendientes, indicador de presión de neumáticos",sí,sí,sí,sí,AM - FM y CD con lector de Mp3,N/D,sí,sí,sí,sí,,,,,,,,,,,,,,,,,,,,,,,,
30,FIAT Toro 1.8 Freedom 4x2 CD Aut,300000.0,nafta,1747,130/6000 cv/rpm,171/3750 N·m/rpm,inyección electrónica multipunto,4,16,no,14.3,N/D,N/D,N/D,176.0,delantero - delantera,automática secuencial 6 velocidades,215/65/R16,discos ventilados - tambor,ruedas independientes tipo McPherson con brazos oscilantes inferiores y barra estabilizadora,"Multi-Link, resortes helicoidales y barra estabilizadora",4915,1844.0,2033.0,1729.0,2990,820.0,60,1660.0,650.0,,N/D,400.0,climatizador bizona,sí,con ajuste manual,abatibles 60/40,cuero,centralizado con comando a distancia,eléctricos - eléctricos,eléctricos,antideslumbrante automático,"con apagado automático, con encendido automático, fijos",delanteros,sí,eléctrica progresiva,aleación,no tiene,"con ajuste en altura y profundidad, multifunción revestido en cuero",traseros,trasera,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales","asistente para arranque en pendientes, control de estabilidad antivuelco, sistema de regulación del torque",sí,sí,sí,sí,"AM - FM y CD con lector de Mp3, con comandos de audio al volante",6,sí,sí,sí,sí,táctil de 7'',sí,,,interna y a distancia solo tapa de combustible,,,N/D,26°,28°,21°,N/D,N/D,N/D,sí,,,sí,sí,,,sí,,
31,FIAT Cronos 1.3L Drive,5300000.0,nafta,1332,99/6000 cv/rpm,127/4000 N·m/rpm,inyección electrónica multipunto,4,8,no,11.5,N/D,N/D,N/D,173.0,delantero - delantera,manual 5 velocidades,185/60/R15,discos sólidos - tambor,"independiente McPherson con brazos oscilantes transversales, resortes y barra estabilizadora",semi-independiente tipo viga de torsión con resortes helicoidales y barra estabilizadora,4364,1724.0,,1508.0,2521,525.0,48,1136.0,,,,,manual,,"con ajuste en altura solo conductor, con ajuste manual",abatibles completos,tela,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, fijos",N/D,sí,eléctrica progresiva,acero con taza,no tiene,"con ajuste en altura, multifunción",,,sí,sí,conductor y acompañante,alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",indicador de presión de neumáticos,sí,sí,sí,,"AM - FM, con lector de Mp3 y WMA, con comandos de audio al volante",N/D,sí,sí,sí,,"color de 3,5""",,,,,,,,,,,,,,,,,,,,,,,
32,FIAT Cronos 1.3L Drive Pack Plus,189000.0,nafta,1332,99/6000 cv/rpm,127/4000 N·m/rpm,inyección electrónica multipunto,4,8,no,11.5,N/D,N/D,N/D,174.0,delantero - delantera,manual 5 velocidades,185/60/R15,discos sólidos - tambor,"independiente McPherson con brazos oscilantes transversales, resortes y barra estabilizadora",semi-independiente con eje torsional con amortiguadores y resortes helicoidales,4364,1724.0,1962.0,1508.0,2521,525.0,48,1155.0,,160.0,N/D,400.0,climatizador,sí,con ajuste manual,abatibles completos,tela,centralizado con comando a distancia,eléctricos - eléctricos,eléctricos,antideslumbrante manual,"con apagado automático, fijos",delanteros,sí,eléctrica progresiva,aleación,no tiene,con ajuste en altura,traseros,trasera,sí,sí,conductor y acompañante,alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales","asistente para arranque en pendientes, indicador de presión de neumáticos",sí,sí,sí,sí,AM - FM y CD con lector de Mp3,N/D,sí,sí,sí,sí,táctil de 7'',sí,,,,,,,,,,,,,,,,,,,,,,
33,Peugeot 208 Feline 1.6,230000.0,nafta,1587,115/5800 cv/rpm,152/4000 N·m/rpm,inyección electrónica multipunto,4,16,no,11.0,N/D,N/D,N/D,195.0,delantero - delantera,manual 5 velocidades,195/60/R15,discos ventilados - tambor,independiente tipo McPherson,"traversa deformable, resortes helicoidales, amortiguadores hidraulicos y telescópicos, y barra estabilizadora",3975,1740.0,2000.0,1470.0,2540,318.0,55,,,,,,climatizador bizona,sí,"con ajuste en altura solo conductor, con ajuste manual",abatibles 60/40,tela y cuero,centralizado con comando a distancia,eléctricos - eléctricos,eléctricos,antideslumbrante manual,"con encendido automático, con luces led, fijos",delanteros y traseros,sí,eléctrica progresiva,aleación,panorámico fijo,"con ajuste en altura y profundidad, multifunción",delanteros y traseros,trasera,sí,sí,"conductor y acompañante, de cabeza delanteros y traseros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales pirotécnicos, traseros inerciales",,sí,sí,,,"AM - FM, con lector de Mp3, con comandos de audio al volante, sistema de sonido Arkamys®",6,sí,sí,sí,,táctil de 7'',sí,sí,,interna y a distancia solo baúl,satelital (GPS),sí,,,,,,,,,,,,,,,,,
34,FIAT Cronos 1.3L Drive,5500000.0,nafta,1332,99/6000 cv/rpm,127/4000 N·m/rpm,inyección electrónica multipunto,4,8,no,11.5,N/D,N/D,N/D,174.0,delantero - delantera,manual 5 velocidades,185/60/R15,discos sólidos - tambor,"independiente McPherson con brazos oscilantes transversales, resortes y barra estabilizadora",semi-independiente con eje torsional con amortiguadores y resortes helicoidales,4364,1724.0,1962.0,1508.0,2521,525.0,48,1155.0,,160.0,N/D,400.0,climatizador,sí,con ajuste manual,abatibles completos,tela,centralizado con comando a distancia,eléctricos - eléctricos,eléctricos,antideslumbrante manual,"con apagado automático, fijos",delanteros,sí,eléctrica progresiva,aleación,no tiene,con ajuste en altura,traseros,trasera,sí,sí,conductor y acompañante,alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales","asistente para arranque en pendientes, indicador de presión de neumáticos",sí,sí,sí,sí,AM - FM y CD con lector de Mp3,N/D,sí,sí,sí,sí,táctil de 7'',sí,,,,,,,,,,,,,,,,,,,,,,
35,Peugeot Partner Furgón Confort 1.6,250000.0,nafta,1587,115/5800 cv/rpm,149/4000 N·m/rpm,inyección electrónica multipunto,4,8,no,,N/D,N/D,N/D,,delantero - delantera,manual 5 velocidades,175/65/R14,discos ventilados - tambor,independiente tipo McPherson,independiente de brazos arrastrados,4137,1724.0,1960.0,1800.0,2693,3000.0,55,1225.0,800.0,,900 kg,,manual,sí,con ajuste manual,no tiene,tela,centralizado con comando a distancia,manuales - fijos,manuales,antideslumbrante manual,con regulación interna,traseros,,hidráulica progresiva,acero,no tiene,con ajuste en altura,,,sí,,conductor y acompañante,inmovilizador de motor,,delanteros inerciales,,sí,sí,,,"AM - FM y CD con lector de Mp3, WMA y tarjetas SD, con comandos de audio al volante",2,sí,sí,sí,,,,,revestida en cuero,,,,,,,,,,,,,,,,,,sí,"trasera derecha corrediza, traseras doble, batientes y vidriadas",
36,Ford Territory SEL 1.8L,40000000.0,nafta,1800,185 cv/rpm,320 N·m/rpm,inyección directa turbo,4,16,N/D,,N/D,N/D,N/D,,delantero - delantera,automática 7 velocidades,R18,discos ventilados - discos sólidos,N/D,N/D,4580,1936.0,2179.0,1674.0,2716,420.0,52,1605.0,,,,,climatizador,sí,"con ajuste en altura y lumbar solo conductor, con ajuste manual",abatibles 60/40,cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante automático,"con apagado automático, con luces led, con regulación interna",delanteros y traseros,sí,eléctrica progresiva,aleación,eléctrico panorámico,"con ajuste en profundidad, multifunción revestido en cuero",traseros,trasera,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales","asistente para arranque en pendientes, indicador de presión de neumáticos",sí,sí,sí,sí,"AM - FM, con lector de Mp3, con comandos de audio al volante",6,sí,sí,sí,sí,táctil de 12'',sí,,,,,sí,,,,,,,,sí,con botón,,sí,,,sí,sí,,
37,Peugeot 208 Feline 1.6,5500000.0,nafta,1587,115/5800 cv/rpm,152/4000 N·m/rpm,inyección electrónica multipunto,4,16,no,11.0,N/D,N/D,N/D,195.0,delantero - delantera,manual 5 velocidades,195/60/R15,discos ventilados - tambor,independiente tipo McPherson,"traversa deformable, resortes helicoidales, amortiguadores hidraulicos y telescópicos, y barra estabilizadora",3975,1740.0,2000.0,1470.0,2540,318.0,55,,,,,,climatizador bizona,sí,"con ajuste en altura solo conductor, con ajuste manual",abatibles 60/40,tela y cuero,centralizado con comando a distancia,eléctricos - eléctricos,eléctricos,antideslumbrante manual,"con encendido automático, con luces led, fijos",delanteros y traseros,sí,eléctrica progresiva,aleación,panorámico fijo,"con ajuste en altura y profundidad, multifunción",delanteros y traseros,trasera,sí,sí,"conductor y acompañante, de cabeza delanteros y traseros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales pirotécnicos, traseros inerciales",,sí,sí,,,"AM - FM, con lector de Mp3, con comandos de audio al volante, sistema de sonido Arkamys®",6,sí,sí,sí,,táctil de 7'',sí,sí,,interna y a distancia solo baúl,satelital (GPS),sí,,,,,,,,,,,,,,,,,
38,Ford Territory SEL 1.8L,40000000.0,nafta,1800,185 cv/rpm,320 N·m/rpm,inyección directa turbo,4,16,N/D,,N/D,N/D,N/D,,delantero - delantera,automática 7 velocidades,R18,discos ventilados - discos sólidos,N/D,N/D,4580,1936.0,2179.0,1674.0,2716,420.0,52,1605.0,,,,,climatizador,sí,"con ajuste en altura y lumbar solo conductor, con ajuste manual",abatibles 60/40,cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante automático,"con apagado automático, con luces led, con regulación interna",delanteros y traseros,sí,eléctrica progresiva,aleación,eléctrico panorámico,"con ajuste en profundidad, multifunción revestido en cuero",traseros,trasera,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales","asistente para arranque en pendientes, indicador de presión de neumáticos",sí,sí,sí,sí,"AM - FM, con lector de Mp3, con comandos de audio al volante",6,sí,sí,sí,sí,táctil de 12'',sí,,,,,sí,,,,,,,,sí,con botón,,sí,,,sí,sí,,
39,Peugeot 208 Feline 1.6,200000.0,nafta,1587,115/5800 cv/rpm,152/4000 N·m/rpm,inyección electrónica multipunto,4,16,no,11.0,N/D,N/D,N/D,195.0,delantero - delantera,manual 5 velocidades,195/60/R15,discos ventilados - tambor,independiente tipo McPherson,"traversa deformable, resortes helicoidales, amortiguadores hidraulicos y telescópicos, y barra estabilizadora",3975,1740.0,2000.0,1470.0,2540,318.0,55,,,,,,climatizador bizona,sí,"con ajuste en altura solo conductor, con ajuste manual",abatibles 60/40,tela y cuero,centralizado con comando a distancia,eléctricos - eléctricos,eléctricos,antideslumbrante manual,"con encendido automático, con luces led, fijos",delanteros y traseros,sí,eléctrica progresiva,aleación,panorámico fijo,"con ajuste en altura y profundidad, multifunción",delanteros y traseros,trasera,sí,sí,"conductor y acompañante, de cabeza delanteros y traseros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales pirotécnicos, traseros inerciales",,sí,sí,,,"AM - FM, con lector de Mp3, con comandos de audio al volante, sistema de sonido Arkamys®",6,sí,sí,sí,,táctil de 7'',sí,sí,,interna y a distancia solo baúl,satelital (GPS),sí,,,,,,,,,,,,,,,,,
40,FIAT Cronos 1.3L Drive,4800000.0,nafta,1332,99/6000 cv/rpm,127/4000 N·m/rpm,inyección electrónica multipunto,4,8,no,11.5,N/D,N/D,N/D,173.0,delantero - delantera,manual 5 velocidades,185/60/R15,discos sólidos - tambor,"independiente McPherson con brazos oscilantes transversales, resortes y barra estabilizadora",semi-independiente tipo viga de torsión con resortes helicoidales y barra estabilizadora,4364,1724.0,,1508.0,2521,525.0,48,1136.0,,,,,manual,,"con ajuste en altura solo conductor, con ajuste manual",abatibles completos,tela,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, fijos",N/D,sí,eléctrica progresiva,acero con taza,no tiene,"con ajuste en altura, multifunción",,,sí,sí,conductor y acompañante,alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",indicador de presión de neumáticos,sí,sí,sí,,"AM - FM, con lector de Mp3 y WMA, con comandos de audio al volante",N/D,sí,sí,sí,,"color de 3,5""",,,,,,,,,,,,,,,,,,,,,,,
41,Peugeot 208 Feline 1.6 Tiptronic,13800000.0,nafta,1587,115/6000 cv/rpm,150/4000 N·m/rpm,inyección electrónica multipunto,4,16,sí,12.2,N/D,N/D,N/D,190.0,delantero - delantera,Tiptronic de 6 velocidades,195/55/R16,discos ventilados - tambor,"independiente tipo McPherson, con resortes helicoidales, amortiguadores hidráulicos telescópicos y barra estabilizadora","traversa deformable, resortes helicoidales, amortiguadores hidraulicos y telescópicos, y barra estabilizadora",4055,1738.0,1960.0,1453.0,2538,311.0,47,1252.0,,,,,climatizador,sí,"con ajuste en altura solo conductor, con ajuste manual",abatibles completos,alcántara,centralizado con comando a distancia,eléctricos - eléctricos,eléctricos,antideslumbrante manual,"con encendido automático, con luces led, con regulación interna",traseros,sí,eléctrica progresiva,aleación,panorámico fijo,"con ajuste en altura y profundidad, multifunción",traseros,periférica,sí,sí,"conductor y acompañante, de cabeza delanteros y traseros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales pirotécnicos, traseros inerciales","advertencia de colisión con autofrenado , asistente para arranque en pendientes, sistema de advertencia de salida de carril, sistema de alerta por cansancio",sí,sí,sí,,"AM - FM, con lector de Mp3, con comandos de audio al volante",6,sí,sí,sí,,"táctil de 10""",sí,sí,,interna y a distancia solo baúl,,sí,,,,,,,,,con sistema remoto,,sí,,sí,,sí,,
42,Volkswagen Gol 5P 1.6 Comfortline,,nafta,1596,92/5500 cv/rpm,136/5500 N·m/rpm,inyección electrónica multipunto,4,8,,11.7,N/D,,,179.0,delantero - delantera,manual 5 velocidades,185/60/R14,discos sólidos - tambor,independiente McPherson con brazos triangulares transversales,independiente con brazos longitudinales y barra estabilizadora,3931,1645.0,,1414.0,2468,440.0,51,933.0,,,,,manual,sí,,abatibles completos,tela,,manuales - manuales,manuales,,"con luces de Xenón, fijos",,sí,hidráulica,aleación,,,,,,,,alarma,,delanteros inerciales,,sí,,,,AM - FM y CD con lector de Mp3,4,,,,,,,,,,,sí,,,,,,,,sí,,,,,,,,,
